name,channel_id,channel_url,avatar,subscribers,total_videos,total_views,created_at,description
Sơn Tùng M-TP Official,UClyA28-01x4z60eWQ2kiNbA,https://youtube.com/channel/UClyA28-01x4z60eWQ2kiNbA,https://yt3.ggpht.com/c-Z7mIlntSpG6VyQ5ZqaPggqkZRhaySr-H5ZEazFN2iR1pP4eD1UGekwu0y--c4CSVhJJ1A4QT8=s88-c-k-c0x00ffffff-no-rj,11500000,199,3508680787,2015-01-21T02:38:32Z,"Son Tung M-TP Official YouTube Channel - Property of Sơn Tùng M-TP

More information about Sơn Tùng M-TP: 
https://www.facebook.com/MTP.Fan
https://www.instagram.com/sontungmtp
https://twitter.com/sontungmtp777
https://www.youtube.com/c/sontungmtp 
@Nhaccuatui: https://nhaccuatui.com/sontungmtp
@Spotify: https://spoti.fi/2HPWs20
@Itunes: https://apple.co/2rlSl3w

More about M-TP ENTERTAINMENT
https://www.facebook.com/mtptown
https://mtpentertainment.com
https://twitter.com/mtpent_official
https://www.instagram.com/mtpent_official"
Sơn Tùng M-TP - Topic,UC3muIvzjhubNpJ4Pn_0kCQw,https://youtube.com/channel/UC3muIvzjhubNpJ4Pn_0kCQw,https://yt3.ggpht.com/c-Z7mIlntSpG6VyQ5ZqaPggqkZRhaySr-H5ZEazFN2iR1pP4eD1UGekwu0y--c4CSVhJJ1A4QT8=s88-c-k-c0x00ffffff-no-rj,51100,71,163573778,2014-12-09T07:17:48Z,"Nguyễn Thanh Tùng, stage name Sơn Tùng M-TP, is a Vietnamese singer, song writer as well as a actor. His 2012 and 2013 singles, ""Cơn Mưa Ngang Qua"" and ""Em Của Ngày Hôm qua"" are the milestones of starting of his career.

Follow Son Tung on:
https://www.facebook.com/MTP.Fan
https://www.instagram.com/sontungmtp
https://www.youtube.com//sontungmtp
https://www.tiktok.com/@tiger050794
https://twitter.com/sontungmtp777
@Nhaccuatui: https://nhaccuatui.com/sontungmtp
@Spotify: https://spoti.fi/2HPWs20
@Itunes: https://apple.co/2rlSl3w"
Sơn Tùng MTP Fancam Channel,UCSJMxJfeapDIyLx_8hKXhFQ,https://youtube.com/channel/UCSJMxJfeapDIyLx_8hKXhFQ,https://yt3.ggpht.com/OB2C8bUidgWylZ5M08LYJP0e2dAyS50BIvEDKfsJnCzK_GEKmKXqmkFgc3PJ4Ai4bdctyOdVHA=s88-c-k-c0x00ffffff-no-rj,69000,201,23792891,2013-07-27T07:01:26Z,"-This is not an official Son Tung M-TP channel. With him, this comes from my heart today and always.
-More information about Sơn Tùng M-TP: 
https://www.facebook.com/MTP.Fan
https://www.instagram.com/sontungmtp
https://twitter.com/sontungmtp777
https://www.youtube.com/c/sontungmtp 
@Nhaccuatui: https://nhaccuatui.com/sontungmtp
@Spotify: https://spoti.fi/2HPWs20
@Itunes: https://apple.co/2rlSl3w

-More about M-TP ENTERTAINMENT
https://www.facebook.com/mtptown
https://mtpentertainment.com
https://twitter.com/mtpent_official
https://www.instagram.com/mtpent_official"
M-TP Audio,UCYw8DkodPq0AGWVFTjiUWBQ,https://youtube.com/channel/UCYw8DkodPq0AGWVFTjiUWBQ,https://yt3.ggpht.com/34Z10ZWSuvXyvfJIz77cprd5hv7uCTaROJ2eX4jJVyBA-g_4e2U980qm_EnuRSenA1kztajD1Q=s88-c-k-c0x00ffffff-no-rj,26500,23,17790097,2022-12-09T02:41:27.598482Z,Unofficial account. All rights reserved to the respective owners.
Sơn Tùng M-TP - Topic,UCCJfVuW90_BlPMtRHZw5-gQ,https://youtube.com/channel/UCCJfVuW90_BlPMtRHZw5-gQ,https://yt3.ggpht.com/ytc/AIdro_nuNlfceTDiBSTQUhxQ56YDJFbBu1DjRfTpJMFP6ck9D0x3tsglom8eMUA2blBLpRVU8w=s88-c-k-c0x00ffffff-no-rj,3,0,0,2025-06-05T15:26:10.122205Z,
Sơn Tùng MTP,UCi1cbZrDqV9djx3APQQopYg,https://youtube.com/channel/UCi1cbZrDqV9djx3APQQopYg,https://yt3.ggpht.com/ytc/AIdro_km2te3hwK3dOko5A4IkFXJoqrJq1Nv4xLLmxRIyoNLdA=s88-c-k-c0x00ffffff-no-rj,10,0,0,2019-07-15T09:27:03Z,"SON TUNG M-TP 
Executive Producer: Nguyen Thanh Tung 
Composer: Son Tung M-TP 
Music Producer: ONIONN
Artist: Son Tung M-TP

PRODUCTION TEAM
METUB NETWORK (A member of WebTVAsia)
▶ More information about Sơn Tùng M-TP

▶ CLICK TO SUBSCRIBE: 

DO NOT REUPLOAD"
Sơn Tùng MTP,UCLcNXUxR5cPPGGC62ZKyBrQ,https://youtube.com/channel/UCLcNXUxR5cPPGGC62ZKyBrQ,https://yt3.ggpht.com/ytc/AIdro_nJ2yrjKQLpZfW4zIZf2LvmREQ64VuoeIFVkGUPdfCApA=s88-c-k-c0x00ffffff-no-rj,113,9,35459,2016-02-15T02:55:08Z,"Nguyễn Thanh Tùng ( Sơn Tùng-MTP) Đỗ thủ khoa nhạc viện tp.HCM với 25,5 điểm, M-TP chính thức chọn theo đuổi con đường âm nhạc một cách bài bản
Cú hích “Em của ngày hôm qua” thực sự đã gây một cơn đại địa chấn VPop khi tung hoành khắp tất cả các bảng xếp hạng, mạnh mẽ đánh bật tất cả các ca khúc ra cùng thời điểm. Được đà tiến tới, Sơn Tùng M-TP đã dành hẳn một cuộc cách mạng lớn về ngoại hình xuất hiện trong MV: phá cách, nổi loạn và đầy cuốn hút. Ngay lập tức có qua có lại, nhiều điều tiếng về việc “học hỏi” beat nhạc và style của một nghệ sĩ KPop lại đeo bám M-TP. Tuy nhiên không thể phủ nhận được sự thay đổi tích cực đó đã mang lại thành công ngoan mục và đẩy tên tuổi của Sơn Tùng lên hàng top những nghệ sĩ trẻ được yêu thích nhất tại VPop hiện nay.


Subscribe kênh để xem nhiều video về Sơn Tùng nhé"
Sơn Tùng MTP,UCjy8MT4zOPZ8A7BFtPdZy2Q,https://youtube.com/channel/UCjy8MT4zOPZ8A7BFtPdZy2Q,https://yt3.ggpht.com/ytc/AIdro_kERhhcaglTz5pxwVE55X2nZHltOvEO5qmWbTdxHtw=s88-c-k-c0x00ffffff-no-rj,0,3,141,2019-06-20T16:09:21Z,
Sơn Tùng MTP,UCYaICYBYgzv0-1ssimYB_VQ,https://youtube.com/channel/UCYaICYBYgzv0-1ssimYB_VQ,https://yt3.ggpht.com/ytc/AIdro_nhTPvpazG46KXOpssDoLzeLAV2lAlAe3a4lZEO_ZLTlA=s88-c-k-c0x00ffffff-no-rj,602,5,199408,2014-10-04T13:22:42Z,
Sơn Tùng MTP Official,UC-1KCGrtWrFU7oKbwXXrV1A,https://youtube.com/channel/UC-1KCGrtWrFU7oKbwXXrV1A,https://yt3.ggpht.com/ytc/AIdro_k3uKof4xKXC04WP2eRWpJnMmxnDSy-kpyQp0yStVWR9A=s88-c-k-c0x00ffffff-no-rj,37,0,0,2017-05-15T10:52:08Z,Son Tung M-TP Official YouTube Channel - Property of Sơn Tùng M-TP  Channel is managed under METUB Network
